oclc	authorName	authorDates	ENDFullTitle	pubLocationStatement	pubDateTranscribed	format	formatStatement	paratextTitleControlled	epigraphBoolean	narrativeFormPrimary	narrativeFormAdditional	nonProseForms	inscriptionBoolean	marginaliaBoolean	translationClaimControlled	titleOtherWorks	titleNouns	titleAdjectives	titlePlaces	titleNames	titleVerbs	titleObjects	titleAdverbs	catalogedBy
261090	Juvenis,			London	1816.0				0				0	0										
261091	Beckford, William,	1760-1844.		London	1816				0				0	0										
261092	Richardson, Samuel,	1689-1761.		Wilmington, (Del.)	1812.0				0				0	0										
261093	Tom Thumb.		The travels of Tom Thumb over England and Wales; containing descriptions of whatever is most remarkable in the several counties. Interspersed with many pleasant adventures that happened to him personally during the course of his journey. Written by himself; and adorned with a suitable map. Price 1s, 6d. Bound.	London	1746.0	Duodecimo		Dedication, Preface	0				0	0			travel, descriptions, several, county, adventure, course, journey, himself, map, Price	pleasant, suitable, Bound	England, , Wales	Tom Thumb				
261094				London	1816.0				0				0	0			memoirs, children			Oliver Cromwell				
261095	Budden, Maria Elizabeth	1780?-1832.	"True stories, from ancient history: chronologically arranged. From the creation of the world to the death of Charlemagne. By the author of ""Always Happy,"" & c."	London	1819			Dedication, Dedication, Dedication, Preface, Table of contents	1	Third-person	First-person		1	0		Always happy	stories, history, creation, world, death	true, ancient, chronologically		Charlemagne				
261096	Edgeworth, Maria,	1767-1849.	Belinda. By Maria Edgeworth.	London	1870.0	Duodecimo			1	Third-person			0	0										
261097	Erskine, Thomas Erskine,	1750-1823.		London	1817.0				0				0	0										
261098	Erskine, Thomas Erskine,	1750-1823.		London	1817.0				0				0	0			part			Armata				
261099	Weems, M. L.	1759-1825.		Philadelphia	1818.0				0				0	0										
261100	Weems, M. L.	1759-1825.		Philadelphia	1818.0				0				0	0										
261102	Hughs,			London	1815.0				0				0	0		Aunt Mary's tales	ornaments, story, parts, author	discovered						
261103	Galt, John,	1779-1839.		London	1819.0				0				0	0										
261104	Cunningham, J. W.	1780-1861.		London	1814.0				0				0	0										
261105	Knight, Ellis Cornelia,	1757-1837.	Dinarbas: A Tale. Second American Edition.	Brattleborough :	1813.0			Introduction, Table of contents	1				0	0			Tale, Edition	American		Dinarbas				
261156	Mouhy, Charles de Fieux,	1701-1784.	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	London	1742.0	Duodecimo		Preface, Preface, Advertisement, To the reader, Letter	0	First-person			1	0	Translation		busy-body, spy, busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure, busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure	successful, successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting, successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting		Mons. Bigand, Mons. Bigand			containing, containing	
261157	Mouhy, Charles de Fieux,	1701-1784.	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	London	1742.0				0				0	0			busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure, busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure	successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting, successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting		Mons. Bigand, , Mons. Bigand, 				
261486	Quevedo, Francisco de,	1580-1645.	The comical works of Don Francisco de Quevedo	London	1742.0	Duodecimo		Preface	0	Epistolary	Third-person, First-person		0	0	Translation		work, author, vision, night-adventure, day-hater, life, sharper, fortune, wit, hour, men, proclamation, treatise, things, occasion	comical, Spanish, all, several, Spanish	Hell	Don Francisco de Quevedo, Paul, Old Father Time		letter		
276043	Corp, Harriet.		sequel to the Antidote, &c.	London	1814.0	Duodecimo		Advertisement	0	Third-person			0	1			sequel, antidote, misery, life, account, Daughter	human, further		Mrs. Placid, Rachel				
276044	A. F.		A Trip to the Jubilee by a Gentleman that was at the late Grand One at Rome. Containing A Diverting Account of the most remarkable Occurences in his Travels thro' France, Milan, Venice, Florence, &c. till his arrival at Rome. Also, a description of the Religious Processions and Ceremonies us'd in their Churches, Streets and Woods; which, as being the Jubilee Year, was kept in most of the Cities and Towns he pass'd thro' in his Journey. Likewise the debauch'd Lives and Intrigues of the Lustful Priests and Nuns. With a relation of their method of confession, and absolving each other, and the reasons given by father C-----k, superior to the Irish Jesuits Cloyfter at Ghent, for the many Romish priests there is in England. With an account of the fallacy made use of in the opening the holy gate of St. Peter's church, and a pleasant description of the whole ceremony of the grand Jubilee at Rome.	London	1750.0	Quarto		Preface	0	First-person			0	0			trip, Jubilee, gentleman, one, account, occurence, travel, description, procession, woods, year, city, town, journey 3 debauch'd, life, intrigue, priest, nun, relation, method, confession, other, reason, priests, account, fallacy, opening, gate, church, description, ceremony	late, grand, diverting, most, remarkable, religious, most, lustful, each, Irish, Romish, holy	France, Milan, Venice, Florence, Rome, Ghent, England., St. Peter's church, Rome	father C-----k, Jesuits Cloyfter				f 1998/12/13
276045	Brooke, Frances,	1724?-1789.	A year and a day. A novel.	London	1818.0	Duodecimo	In two volumes.		1	Epistolary, Third-person, First-person			0	0			year, day, novel			Madame Panache				
276046	West,	1758-1852.	"Alicia de Lacy; an historical romance. By the author of ""The loyalists, "" &c."	London	1814.0	Duodecimo	In four volumes.	Preface	1	Third-person			0	0			romance, author, loyalists	historical		Alicia de Lacy				
276047	ScudeÃÅry, Madeleine de,	1607-1701.	Almahide, or the Captive Queen. An excellent new romance. Never before in English. The whole work. Written in French by the accurate pen of Monsieur de Scudery governor of (Nostre Dame). Done into English by (J. Philips Gent). Licensed, March 8. 1675/6 H. Oldenburgh.	London	1677.0			Letter	0		Third-person, First-person		0	1	Translation		Queen, romance, work, pen, governor	Captive, excellent, new, English, whole, French, accurate, English	Nostre Dame, 	Almahide, , Monsieur de Scudery, , J. Philips Gent				
276049			A Complete History of James Maclean, the gentleman highwayman, who was executed at Tyburn, on Wednesday, October 3, 1750, for a Robbery on the Highway. Containing the particulars of his life, from his birth to his death. In which is included, an Account of the Robberies he commited with his Companion Plunket. And a Series of letters, that pass'd between him and Plunket, as well during the time he was in Holland, as in England; in which are open'd some extraordinary scenes. Also, the particulars of their fortune-hunting schemes; in which Maclean generally pass'd for a gentleman of worth, and Plunket personated his footman. Likewise a number of original letters sent to Maclean by different ladies, some of which contain narratives of facts so exceeding tender, as must raise pity and compassion in the breast of every reader. The whole adorn'd with a very neat picture of Maclean, taken from the life, while under sentence, drawn and engrav'd by Mr. Boitard.	London	1750	Octavo			0	Epistolary	First-person, Third-person, Epistolary		0	0			history, highwayman, robbery, highway, particulars, life, birth, death, account, series, letter, time, scene, scheme, footman, number, lady, narrative, fact, tender, pity, compassion, breast, reader, whole, picture, sentence	complete, gentleman, companion, extraordinary, fortune-hunting, original, very, neat	Tyburn, Holland, England	James Maclean, Plunket, Mr. Boitard				
276050	Scott, Sarah,	1723-1795.	A description of Millenium Hall, and the country adjacent: together with the characters of the inhabitants, and such historical anecdotes and reflections, as may excite in the reader proper sentiments of humanity, and lead the mind to the love of virtue.  By a gentleman on his travels.  The fourth edition.	London	1778	Duodecimo		Advertisement	0	First-person			0	0			Description, Hall, Country, Character, Inhabitant, Anecdote, Reflection, Reader, Sentiment, Humanity, Mind, Love, Virtue, Gentleman, Travel	Adjacent, Historical, Proper	Millenium Hall		Excite, Lead			NA 6/17/11
276051			A select collection of novels in four volumes. Written by the most celebrated authors in several languages. Many of which never appear'd in English before; and all new translated from the originals, by several eminent hands.	London	1720-1721.	Duodecimo		Dedication, Preface	0				0	0			collection, novel, author, language, origina, hand., collection, novel, letter, original, romance, marriage, Estramaduran	select, most, celebrated, several, Many, English, new, several, eminent, select, jealous	belfegor, 	Monsieur Huet, , Monsieur de Segrais, , Zayde, 				
276061	Scott, Walter,	1771-1832.	"Peveril of the peak. By the author of ""Waverly, Kenilworth,"" &c. In three volumes. Vol. I"	Philadelphia	1823.0	Duodecimo	In three volumes.	Letter	1	Third-person			0	0			"peak, author, ""Waverly, Kenilworth,"", peak, author, ""Waverly, Kenilworth,"", peak, author, ""Waverly, Kenilworth,"			Peveril, Peveril, Peveril				
276063	Edgeworth, Maria,	1767-1849.	"Patronage. By Maria Edgeworth, author of ""Tales of a fashionable life,"" ""Belinda,"" ""Leonora,"" &c. In four volumes. Vol. I."	London	1814.0	Duodecimo	In four volumes.	To the reader	1	Third-person			1	0			Patronage, author, tale, life	fashionable		Maria Edgeworth, Belinda, Leonora				
276064	Orrery, Roger Boyle,	1621-1679.	Parthenissa, that most fam'd romance. The six volumes compleat. Composed by the right honourable the Earl of Orrery.	London	1676.0	Folio	The six volumes compleat.	Dedication	0	Epistolary	First-person		1	0			romance, volume	fam'd, six, compleat, right, honourable		Parthenissa, , Earl of Orrery				
276066	Kelly, John,	1680?-1751.	Pamela's conduct in high life. Publish'd from her original papers to which are perfix'd, several curious letters written to the editor on the subject.	Dublin	1741.0	Long duodecimo		Introduction	0	Epistolary			1	0			conduct, life, papers, letters, editor, subject	high, original, several, curious		Pamela				
276068	Richardson, Samuel,	1689-1761.	Pamela: Or, virtue rewarded. In a series of familiar letters from a beautiful young damsel, to her parents. Now first published in order to cultivate the principles of virtue and religion in the minds of the youth of both sexes. A narrative which has its foundation in truth and nature; and at the same time that it agreeably entertains, by a variety of curious and affecting incidents, is intirely divested of all those images, which, in too many pieces calculated for amusement only, tend to inflame the minds they should insruct. In two volumes. Vol. I.	London	1741., 1742.	Duodecimo	In two volumes.	Preface, Letter, Advertisement, Preface, Errata	0	Epistolary	Third-person, Poem(s)		0	0			virtue, series, letter, damsel, parents, principles, virtue, religion, minds, youth, sexes, narrative, foundation, truth, nature, time, variety, incidents, images, pieces, amusement, minds, virtue, series, damsel, parents, condition, persons, life, principles, virtue, religion, minds, youth, sex, editor	familiar, beautiful, young, both, same, curious, affecting, many, calculated, only, rewarded, familiar, beautiful, young, exalted, figure, quality, genteel, both		Pamela, Pamela		letters, letter		
276069			National tales. Vol. II.	New York	1825.0	Duodecimo		Preface, Copyright statement, Table of contents	1	Third-person	First-person		1	0			tale	national						
276070	Walker, Mary,		Munster village, a novel. In two volumes. Vol. I.	London	1778	Octavo	In two volumes.		0	Third-person	Letters		0	0			Village, Novel, Volume		Munster, Munster village			Novel		AFD 06/14/2011
276072	Brackenridge, H. H.	1748-1816.	Modern chivalry: containing the adventures of a captain and Teague O'Regan, his servant. By H. H. Brackenridge, late a judge of the Supreme Court of Pennsylvania. With the last corrections and additions of the author. Vol. I.	Pittsburg :	1819.0	Duodecimo		Advertisement, Official note, Introduction	1	Third-person			1	0			chivalry, adventure, captain, servant, judge, Court, correction, addition	modern, Supreme, last	Pennsylvania	Teague O'Regan, H. H. Brackenridge				
276073	Swift, Jonathan,	1667-1745.	Miscellaneous works, comical & diverting: by T.R.D.J.S.D.O.P.I.I. In two parts. I. The tale of a tub; with the fragment, & and the battel of the books; with c considerable additions, explanatory notes, never before printed. II. Miscellanies in prose and verse, by the supposed author of the first part.	London	1720.0	Octavo	In two parts.	Advertisement, Errata, Table of contents, Essay, Dedication, To the reader, Dedication, Preface, Advertisement	1	First-person, Third-person	Letter(s), Poem(s), Essay(s)		1	1			work, part, tale, fragment, battel, addition, note, miscellany, prose, verse, author, part, tale, improvement, mankind, member, fraternity, account, battel, book, discourse, operation, spirit, friend, fragment, miscellany, prose, verse, part, scribler, author, first, account, battle, Friday, book	miscellaneous, comical, diverting, two, considerable, explanatory, supposed, first, universal, illustrious, antient, modern, mechanical, second, certain, paltry, full, true, ancient, modern	Grubstreet, , St. James's library, , St. James's library	T.R.D.J.S.D.O.P.I.I.		tub, , books, tub, , letter, 		
276075	Meeke, Mary,	d. 1818.	Midnight weddings. A novel.	London	1814.0	Duodecimo	In three volumes		1	Third-person			1	0			midnight, wedding, novel, midnight, wedding, novel, author, Conscience, Matrimony, Amazement, midnight, wedding, novel, author, Conscience, Matrimony, Amazement, midnight, wedding, novel, author, Conscience, Matrimony, Amazement			Mrs. Meeke, , Mrs. Meeke, , Mrs. Meeke, 				
276078			Memoirs of the Bashaw Count Bonneval, from his birth to his death: shewing, the motives which induced him to quit the services and dominions of France; his entrance into and sudden rise in the Imperial armies; his exploits in Italy, Hungary, &c. His quarrel with the Marquis de Prie, and its consequences; the true cause of his disgrace at the court of Vienna; and the reasons which occasioned him to seek an asylum amongst the Turks; with his various fortunes, while in the service of the porte. Interpreted throughout with an entertaining diversity of secret intrigues, amorous adventures, military and political achievements, being, in effect, the secret history of Europe for the best part of the current century.	London	1750.0	Octavo		Preface	0	Epistolary	First-person		0	0			Memoir, birth, death, motive, service, dominion, entrance, rise, army, exploit, quarrel, consequence, cause, disgrace, court, reason, asylum, Turk, fortune, service, porte, diversity, intrigue, adventure, achievement, history, part, century	Bashaw, sudden, Imperial, true, various, entertaining, secret, amorous, military, political, secret, best, current	France, Italy, Hungary, Vienna, Europe	Count Bonneval, Marquis de Prie				
276080	Defoe, Daniel,	1661?-1731.		London	[1720?]	Octavo		Preface	0				0	0			Memoirs, cavalier, military, journal, wars, gentleman, army, king, death, rebellion	English, glorious, royal	Germany, England, Sweden	Gustavus Adolphus, King Charles the First				
276081			Love upon tick: or, implicit gallantry. Exemplified, in some merry memoirs of the rise and progress of an extraordinary and occasional amour. In which the whole mechanism of that passion is expos'd, and made obvious to the meanest capacity.	London	1724.0	Octavo		Dedication, Preface	1	Epistolary	Third-person		0	0			love, tick, gallantry, memoir, rise, progress, amour, mechanism, passion, capacity	implicit, merry, extraordinary, occasional, whole, obvious, meanest						
276082	Jenner, Charles,	1736-1774.	Letters from Altamont in the capital, to his friends in the country.	London	1767	Octavo		Introduction	1	Epistolary			1	0			letter, capital, friend, country			Altamont				
276083			Learning loss amour Mr. Pedant  Miss Hartley	London	1778.0	Octavo	In two volumes.	Dedication, Preface	1	Epistolary	Poem		0	0										
276085	Fagnan, Marie-Antoinette,	d. ca. 1770.	Kanor, a tale. Translated from the Savage.	London	1750.0	Duodecimo		Preface	0	Third-person			0	0	Translation		tale	savage		Kanor, 				
276086	La CalpreneÃÄde, Gaultier de Coste,	1663.0	Hymen's praeludia: Or, love's masterpiece. Being that so-much-admired romance, intituled, Cleopatra. In twelve parts. Written originally in the French, and now elegantly rendred into English, by Robert Loveday. Evand. Qui magis Cleoparta psrentibus ort a conspicuis, comiti (quam placuisse thori? Licensed, to be reprinted, July 20th, 1696. R. L'Etrange.	London	1687.0	Folio	In twelve parts.	Dedication, To the reader, Poem, Poem, Poem, Poem, Poem, Poem, Poem, Poem	1	First-person, Third-person			0	1	Translation		hymen, praeludia, love, masterpiece, romance	so-much-admired, French, English		Cleopatra, Robert Loveday, R. L'Etrange			20th, 1696.	
276087	Grosse, Carl,	1768-1847.	Horrid mysteries.	London	1796.0	Duodecimo	In four volumes.	Preface, Preface	0	First-person			0	0	Translation		mystery, mystery, story, German, mystery, story, German, mystery, story, German, mystery, story, German	horrid, horrid, horrid, horrid, horrid		Marquis of Grosse, P. Will, Marquis of Grosse, P. Will, Marquis of Grosse, P. Will, Marquis of Grosse, P. Will				
276088	Rowe, Elizabeth Singer,	1674-1737.	Friendship in death; in twenty letters from the dead to the living. To which are added, letters moral and entertaining, in prose and verse. In three parts. By Mrs. Elizabeth Rowe. London: Printed for Henry Lintot. MDCCL.	London	1750.0	Octavo	In three parts.	Dedication, Preface	0				0	0			friendship, death, letter, dead, living, letter, prose, verse, part	moral, entertaining	London	Mrs. Elizabeth Rowe, Henry Lintot				
276089			Fanny: or, the amours of a west-country lady. Contained in a series of genuine letters. Interspersed with some entertaining particulars, during her travels abroad. In two volumes. Vol. I.	London	1755.0	Duodecimo	In two volumes.		0	Epistolary			0	0			amour, lady, series, letter, particulars, travel, amour, lady, series, letter, particulars, travel	west-country, genuine, some, entertaining, abroad, west-country, genuine, some, entertaining, abroad		Fanny, Fanny				
276092	Roberts,	d. 1813.	"Duty, a novel, by the late Mrs. Roberts, author of "" Rose and Emily:"" Interspersed with poetry and preceded by a character of the author by (Mrs. Opie). In three volumes."	London	1814.0	Duodecimo	In three volumes.	About the author, Postscript	0	Third-person			0	0			duty, novel, author, poetry, character, duty, novel, author, poetry, character, duty, novel, author, poetry, character	late, late, late		Mrs. Roberts, Rose, Emily, Mrs. Opie, Mrs. Roberts, Rose, Emily, Mrs. Opie, Mrs. Roberts, Rose, Emily, Mrs. Opie				
276093	Murray, Hugh,	1779-1846.	Corasmin.	London	1814.0			Preface	0	Epistolary, Third-person			1	0			minister, romance, author, emigrant	Swiss		Corasmin				
276094	ScudeÃÅry, Madeleine de,	1607-1701.	Clelia, an excellent new romance: the whole work in five parts, dedicated to Mademoiselle de Longueville. The first part. Written in French by the exquisite pen of Monsieur de Scudery, Governour of Nostredame de la Garde.	London	1678., 1678., 1677.	Folio	In five parts.	To the reader, Dedication, Dedication, Dedication, Dedication, Dedication	0	Epistolary	Third-person, First-person		0	0			romance, work, parts, part, pen, Governour, romance, work, parts, part, pen, Governour, romance, work, parts, part, pen, Governour, romance, work, parts, part, pen, Governour, romance, work, parts, part, pen, Governour	excellent, new, whole, five, first, French, exquisite, excellent, new, whole, five, first, French, exquisite, excellent, new, whole, five, second, French, exquisite, excellent, new, whole, five, third, French, exquisite, excellent, new, whole, five, fourth, French, exquisite	Nostredame de la Garde, Nostredame de la Garde, Nostredame de la Garde, Nostredame de la Garde, Nostredame de la Garde	Clelia, Mademoiselle de Longueville, Monsieur de Scudery, Governour of Nostradame la Garde, Clelia, Mademoiselle de Longueville, Monsieur de Scudery, Governour of Nostradame la Garde, Clelia, Mademoiselle de Longueville, Monsieur de Scudery, Governour of Nostradame la Garde, Clelia, Mademoiselle de Longueville, Monsieur de Scudery, Governour of Nostradame la Garde, Clelia, Mademoiselle de Longueville, Monsieur de Scudery, Governour of Nostradame la Garde				
276097	Hanway, Mary Ann.		Christabelle, the maid of Rouen.	London	1814.0	Duodecimo		Dedication, Preface	1	Third-person			1	0			maid, novel, facts, author		Rouen	Christabelle, Mrs. Hanway, Ellinor, Andrew Stuart Falconbridge Abbey				
276099	Argens, Jean-Baptiste de Boyer,	1704-1771.	Chinese letters. Being a philosophical, historical, and critical correspondence between a Chinese traveller at Paris, and his countrymen in China, Muscovy, Persia, and Japan.  Translated from the originals into French, by the Marquis d'Argens, author of the Lettres Juives, or Jewish Spy; and now done into English.	London	1741	Duodecimo		Index, Dedication, Preface	0	Epistolary			0	0	Translation		letters, correspondence, traveller, countrymen, original, Marquis, author, Lettres Juives, spy	Chinese, philosophical, historical, critical, French, Jewish, English	Paris, China, Muscovy, Persia, Japan	Marquis d'Argens				
276100	La CalpreneÃÄde, Gaultier de Coste,	d. 1663.	Cassandra: the fam'd romance the whole work: in five parts. Written originally in French, and now elegantly rendered into English by (Sir Charles Cotterell), master of the ceremonies to his late majesty of blessed memory, and to our present soveraign (Charles II). King of Great Britain, France and Ireland, &c.	London	1676.0	Folio	In five parts.	To the reader, Letter, To the reader, Dedication	0	First-person	Third-person		0	1	Translation		romance, work, part, master, ceremony, majesty, memory, soveraign, King	fam'd, whole, five, French, English, late, blessed, present	Great Britain,, France, Ireland	Cassandra, Sir Charles Cotterell, Charles II				
276101	Ingelo, Nathaniel,	1621?-1683.	Bentivolio and Urania, in four bookes. By (N.I. D.D.)	London	1660.0	Folio	In four bookes.	Dedication, Letter, Preface, Index	0		Third-person, Epistolary		0	1						Bentivolio, Urania, N.I. D.D				
276102	Ingelo, Nathaniel,	1621?-1683.	Bentivolio and Urania, in six books. By Nathanael Ingelo, D.D. The fourth edition, with large amendments. Wherein all the obscure words throughout the book are interpreted in the margin, which makes this much more delightful to read than the former editions.	London	1682.0	Folio	In six books	Letter, Preface, Letter, Letter, Preface	0	Third-person			0	1			book, edition, amendment, words, book, margin, part, book, edition	six, fourth, large, obscure, delightful, former, second, two, fourth		Bentivolio, Urania, Nathanael Ingelo, D.D, Bentivolio, Urania, Nathanael Ingelo, D.D.				
276103			Bannockburn.	Philadelphia	1822.0	Duodecimo	In two volumes.		0	Third-person			0	1			novel, sequel, chief	Scottish	Bannockburn	Miss Jane Porter				
276105	Cambon,		Young Grandison. A series of letters from young persons to their friends. Translated from the Dutch of Madame de Cambon. With alterations and improvements. In two volumes. Vol. I.	Dublin	1790	Duodecimo	In two volumes	Advertisement, Epilogue	0	Epistolary	Dramatic dialogue		0	0	Translation		Series, Person, Friend, Alteration, Improvement, Volume	Young, Dutch, Two		Grandison, Young Grandison, Madame de Cambon	Translate	Letter		AFD MG BE 5/18/11 8/1/12 Swarthmore College
276107	Petronius Arbiter.		The works of Petronius Arbiter, in prose and verse. Translated from the original Latin. By Mr. Addison. To which are preix'd the Life of Petronius, done from the Latin.: And a character of his writings by Monsieur St. Evremont.	London	1736.0	Duodecimo		About the author, Character information, Preface	1	First-person	Verse		0	0	Translation		work, prose, verse, Life, Latin, character, writing	original, Latin		Petronius Arbiter, , Mr. Addison, , Petronius, , Monsieur St. Evremont, 				
276109	Burney, Fanny,	1752-1840.	The wanderer. Vol. I	London	1814.0	Duodecimo	In five volumes.	Dedication	0	Third-person			0	0			wanderer, wanderer, difficulty, author, wanderer, wanderer, wanderer, wanderer	female		Evelina, Cecilia, Camilla				
276110	Burney, Fanny,	1752-1840.	The wanderer, or, female difficulties. By Madame d'Arblay, author of Evelina; Cecilia; and Camilla. Three volumes. Vol. I	New York	1814.0	Duodecimo	Three volumes	Dedication	0	Third-person			0	0			wanderer, wanderer, difficulty, author, wanderer, wanderer, wanderer, wanderer	female		Madame d'Arblay, Evelina, Cecilia, Camilla				
276113	Graves, Richard,	1715-1804.	The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. Vol. I.	London	1783	Duodecimo		Dedication, Preface, Postscript, Advertisement, Dedication, Introduction, Table of contents, Table of contents, Table of contents, Conclusion	1	Third-person	First-person	Poems	1	0			Summer, Ramble, Mr., Romance, Edition	Spiritual, Comic, New, Corrected, Improved		Don Quixote, Mr. Geoffry Wildgoose	Correct, Improve			MJR 6/29/11
276114	Porter, Anna Maria,	1780-1832.	The recluse of Norway by Miss Anna Maria Porter. In four volumes. Vol. I. 	London	1814.0	Duodecimo	In four volumes.	Dedication, Preface, Errata	1	Third-person			1	0			recluse, recluse, recluse, recluse, recluse		Norway, Norway, Norway, Norway, Norway	Miss Anna Maria Porter, , Miss Anna Maria Porter, , Miss Anna Maria Porter, 				
276115	Manley,	1663-1724.	The power of love: in seven novels viz. I. The fair hypocrite. II. The physician's strategem. III. The wife's resentment. IV. V. The husband's resentment. In two examples. VI. The happy fugitives. VII. The perjur'd beauty. Never before published. By Mrs. Manley	London	1720.0	Octavo		Dedication	0	First-person	Epistolary		0	0			power, love, novel, hypocrite, physician, strategem, wife, resentment, husband, resentment, example, fugitive, beauty	seven, fair, two, happy, perjur'd		Mrs. Manley, 				
276116			The nominal husband: or, the distress'd innocence. A true secret history, taken from an old Saxon manuscript, found among the papers of a late noble antiquarian, modernised for the service of the youth of both sexes.	London	1750.0	Duodecimo		Preface	1	Third-person			0	0			husband, innocence, history, antiquarian, service, youth, sex	nominal, distress'd, true, secret, old, Saxon, late, noble, modernised, both				manuscript, , paper		
276117	Thistlethwaite, James,	b. 1751.	The man of experience.	London	1778	Duodecimo	In two volumes.	Dedication, Errata	0	First-person	Third-person	Verse	0	0			Man, Experience, Adventure, Volume, Mr.			Honorius, Mr. Thistlethwaite				AFD 06/16/2011
276118	Terrasson, Jean,	1670-1750.	The life of Sethos. Taken from the private memoirs of the ancient Egyptians. Translated from a Greek manuscript into French. And now faithfully done into English from the Paris edition; by Mr. Lediard. In two volumes. Vol. I.	London	1732.0	Octavo	In two volumes.	Preface, Licence	0				0	0	Translation		life, memoir, Egyptian, manuscript, life, memoir, Egyptian, manuscript	private, ancient, Greek, French, English, edition, private, ancient, Greek, French, English, edition	Paris, , Paris, 	Sethos, , Mr. Lediard, , Sethos, , Mr. Lediard, 				
276120	Green, George Smith,	d. 1762.	The life of Mr. John Van, a clergyman's son, of Woody, in Hampshire. Being a series of many extraordinary events, and surprizing vicissitudes: in which are shewn, among a great number of singular and merry occurrences, his entrance into the army as a trooper; his bravery against the rebels; his marriage with an heiress of eight hundred pounds a year, at St. Ive's in Huntingdonshire; his conduct in high life, his favours from fortune and reduction to poverty. Written by his friend and acquaintance, G.S. Green. In two volumes. Vol. I. ( Price 6s. Bound)	London	1750	Duodecimo	In two volumes	Table of contents, Table of contents	0	Third-person	Poem(s), Dialogue		0	0			life, clergyman, son, series, event, vicissitude, number, occurrence, entrance, army, trooper, bravery, rebels, marriage, heiress, pound, year, conduct, life, favour, fortune, reduction, poverty, friend, acquaintance, Price, life, clergyman, son, series, event, vicissitude, number, occurrence, entrance, army, trooper, bravery, rebels, marriage, heiress, pound, year, conduct, life, favour, fortune, reduction, poverty, friend, acquaintance, Price	many, extraordinary, surprizing, great, singular, merry, eight, hundred, high, 6s., many, extraordinary, surprizing, great, singular, merry, eight, hundred, high, 6s.	Woody, , Hampshire, , Woody, , Hampshire, 	Mr. John Van, , St. Ive's, , Huntingdonshire, , G.S. Green, , Mr. John Van, , St. Ive's, , Huntingdonshire, , G.S. Green, 				
276121			The life and adventures of Mrs. Christian Davies, the British Amazon, commonly call'd Mother Ross; who served as a foot-soldier and dragoon, in severa campaigns, under King William and the late Duke of Marlborough; containing variety of transactions both serious and diverting: Wherein she gave surprising proofs of courage, strength, and dexterity in handling all sorts of weapons, rarely to be met with in the contrary sex; for which, besides being otherwise rewarded, she was made a pensioner of Chelsea College, by Queen Anne, where her husband now is a serjeant, and she continued to her death. The whole taken from her own mouth, and known to be true by many noblemen, generals, and other officers, &c. mentioned in her life, and still living, who served in those wars at the same time, and were witnesses of her uncommon martial bravery.	London	1741	Octavo		Table of contents, Table of contents, Table of contents, Preface, To the reader, Appendix	0				0	0			life, adventure, Amazon, foot-soldier, dragoon, campaign, variety, transaction, proofs, courage, strength, dexterity, weapon, sex, pensioner, husband, serjeant, death, whole, mouth, true, noblemen, general, officer, life, war, time, witness, bravery	British, several, late, serious, diverting, surprising, rarely, contrary, many, same, uncommon, martial	Chelsea College, 	Mrs. Christian Davies, , Mother Ross, , King William, , Duke of Marlborough, , Queen Anne, 				
276122	Kimber, Edward,	1719-1769.	The life and adventures of Joe Thompson. A narrative founded on fact. Written by himself. In two volumes.	London	1750	Duodecimo	In two volumes.	Table of contents, Preface, Errata	1	First-person	Letters		0	0			life, adventure, narrative, fact			Joe Thompson, 				
276123			The history of Tom Jones the foundling, in his married state. -Utile dulci.	London	1750.0	Duodecimo		Table of contents, Dedication, Preface, Errata	0	Third-person	Letters, First-person	Poem(s)	0	0			history, foundling, state	married		Tom Jones, 				
