htid,recordid,oclc,locnum,author,imprint,date,place,enumcron,subjects,title,prob80precise,genrepages,totalpages,englishpct,datetype,startdate,enddate,imprintdate
hvd.hn6dfp,9710643,6718646,,"Coventry, Francis,",London;Printed for R. and J. Dodsley;1761.,1761,enk,,,The history of Pompey the Little,0.89,302,324,1,s,1761,    ,1761
hvd.hwkd6i,9708423,1702156,,"Lennox, Charlotte,","London;Printed for A. Millar, in the Strand;1761.",1761,enk,v.2,,Henrietta,0.89,316,338,1,s,1761,    ,1761
hvd.hwkd6j,9708423,1702156,,"Lennox, Charlotte,","London;Printed for A. Millar, in the Strand;1761.",1761,enk,v.1,,Henrietta,0.89,258,272,1,s,1761,    ,1761
mdp.39015010783762,561130,16109815,,"Hawkesworth, John,",London;Printed by for H. Payne and W. Cropley;1761.,1761,enk,v.1-2,,Almoran and Hamet,0.89,308,326,0.999,s,1761,    ,1761
mdp.39015030694510,1185321,5042805,PL2997,,London;Printed for R. and J. Dodsley ...;1761.,1761,enk,v.4,"Proverbs, Chinese;Translations into English;Chinese poetry",Hau kiou choaan,0.51,126,292,0.995,s,1761,    ,1761
mdp.39015030694569,1185321,5042805,PL2997,,London;Printed for R. and J. Dodsley ...;1761.,1761,enk,v.3,"Proverbs, Chinese;Translations into English;Chinese poetry",Hau kiou choaan,0.59,153,290,0.999,s,1761,    ,1761
mdp.39015030694734,1185321,5042805,PL2997,,London;Printed for R. and J. Dodsley ...;1761.,1761,enk,v.2,"Proverbs, Chinese;Translations into English;Chinese poetry",Hau kiou choaan,0.71,220,312,0.999,s,1761,    ,1761
mdp.39015062248144,1185321,5042805,PL2997,,London;Printed for R. and J. Dodsley ...;1761.,1761,enk,v.1,"Proverbs, Chinese;Translations into English;Chinese poetry",Hau kiou choaan,0.71,206,294,0.997,s,1761,    ,1761
mdp.39015063614260,268566,8318237,,"Ferguson, Adam,",London;Printed for W. Owen;1761.,1761,enk,,Politics and government;Scotland;Great Britain;18th century,"The history of the proceedings in the case of Margaret, commonly called Peg, only lawful sister to John Bull, esq",0.8,174,200,1,s,1761,    ,1761
mdp.39015067220148,1856914,23645298,,"Hagen, Lorentz",London;A. Miller;1761.,1761,enk,,,Anecdotes concerning the famous John Reinhold Patkul: or,0.66,45,68,1,s,1761,    ,1761
mdp.39015078549386,1368991,23639927,,"Defoe, Daniel,",London;Printed for C. Hitch and L. Hawes [etc.;1761.,1761,enk,v.1,,"The life and strange surprising adventures of Robinson Crusoe; of York, mariner: who lived eight-and-twenty years all alone in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque; having been cast on shore by shipwreck, wherein all the men perished but himself",0.83,287,310,1,s,1761,    ,1761
nnc1.1002351560,8405498,49461334,,"Morell, Charles,",London;J. Wilkie;1761.,1761,enk,v.1,,"The history of James Lovegrove, esq",0.8,273,318,1,s,1761,    ,1761
nnc1.1002351617,8405498,49461334,,"Morell, Charles,",London;J. Wilkie;1761.,1761,enk,v.2,,"The history of James Lovegrove, esq",0.81,288,324,1,s,1761,    ,1761
nyp.33433067315790,8619050,37548644,,"Voltaire,","London;Printed for J. Newbery;1761-1774 [v. 1, 1762",1761,enk,v. 23,,Works,0.71,204,290,1,m,1761,1774,1761-1774
uc2.ark+=13960=t6542kr8w,7688842,3183715,,"Hawkesworth, John,",London;Printed by C. Say: for H. Payne and W. Cropley;1761.,1761,enk,v.2,,Almoran and Hamet,0.89,157,166,0.999,s,1761,    ,1761
uc2.ark+=13960=t7vm44d7m,7688842,3183715,,"Hawkesworth, John,",London;Printed by C. Say: for H. Payne and W. Cropley;1761.,1761,enk,v.1,,Almoran and Hamet,0.89,151,160,1,s,1761,    ,1761
uc2.ark+=13960=t9765rq4v,7697928,12714824,,"Daniels, Thomas.",London;Cabe;1761.,1761,enk,,"Daniels, Thomas",The affecting case of the unfortunate Thomas Daniels,0.57,15,28,1,s,1761,    ,1761
uva.x000534712,9793318,14194959,,"Rousseau, Jean-Jacques,",London;R. Griffiths;1761.,1761,enk,V.4,,"Eloisa: or, A series of original letters collected and published by J.J. Rousseau",0.64,187,306,1,s,1761,    ,1761
uva.x000534713,9793318,14194959,,"Rousseau, Jean-Jacques,",London;R. Griffiths;1761.,1761,enk,V.2,,"Eloisa: or, A series of original letters collected and published by J.J. Rousseau",0.5,132,304,1,s,1761,    ,1761
uva.x000534718,9793318,14194959,,"Rousseau, Jean-Jacques,",London;R. Griffiths;1761.,1761,enk,V.1,,"Eloisa: or, A series of original letters collected and published by J.J. Rousseau",0.79,270,322,0.999,s,1761,    ,1761
uva.x000534719,9793318,14194959,,"Rousseau, Jean-Jacques,",London;R. Griffiths;1761.,1761,enk,V.3,,"Eloisa: or, A series of original letters collected and published by J.J. Rousseau",0.52,135,302,1,s,1761,    ,1761
dul1.ark+=13960=t4mk7258x,2104604,23642735,,"Scott, Sarah,",London;J. Newbery;1762.,1762,enk,,,"A description of Millenium Hall, and the country adjacent",0.8,242,278,1,s,1762,    ,1762
mdp.39015063891306,246429,1492679,,"Leland, Thomas,",London;Printed for W. Johnston;1762.,1762,enk,v.2,"3d earl of;Salisbury, William LongespÃƒÂ©e;Fiction;1175 (ca.)-1226","Longsword, Earl of Salisbury",0.88,212,230,1,s,1762,    ,1762
mdp.39015063891314,246429,1492679,,"Leland, Thomas,",London;Printed for W. Johnston;1762.,1762,enk,v.1,"3d earl of;Salisbury, William LongespÃƒÂ©e;Fiction;1175 (ca.)-1226","Longsword, Earl of Salisbury",0.89,220,230,1,s,1762,    ,1762
mdp.39015065806815,1798016,18322596,,"Le Sage, Alain RenÃ©,",Edinburgh;Printed by A. Donaldson and J. Reid for A. Donaldson;1762.,1762,stk,,,The devil upon two sticks,0.8,309,355,1,s,1762,    ,1762
mdp.39015065810544,242942,23624937,PR3291.A1A25,,"London;Printed for W. Owen, near Temple-Bar;1762.",1762,enk,v.1,,Almira,0.83,198,211,1,s,1762,    ,1762
njp.32101037042973,9472268,13237797,PR3291.A1H621,,London;C. Henderson;1762.,1762,enk,,,A history of the matrimonial adventure of a banker's clerk,0.82,175,192,1,s,1762,    ,1762
nyp.33433074955356,8663522,16112448,,"Cooper, Maria Susanna.","Dublin;Printed for Peter Wilson, John Exshaw, Henry Saunders and James Potts;1762.",1762,ie ,,English fiction,Letters between Emilia and Harriet,0.86,165,190,1,s,1762,    ,1762
uc2.ark+=13960=t50g3jc0p,7672474,16112946,,"Scott, Sarah,",London;J. Newbery;1762.,1762,enk,,,"A description of Millenium Hall, and the country adjacent",0.89,261,276,1,s,1762,    ,1762
dul1.ark+=13960=t2d802m4n,10943044,16015809,,"Berington, Simon,",London;Printed for J. Richardson ...;1763.,1763,enk,,"Utopias;Voyages, Imaginary",The adventures of Sig. Gaudentio di Lucca,0.55,219,342,0.999,s,1763,    ,1763
dul1.ark+=13960=t3223nn9s,10943646,16111630,,"Johnstone, Charles,",London;Printed for T. Becket and P. A. Da [!] Hondt ...;1763.,1763,enk,v.1,"Becket, T;Publisher;London;Place;1763;England;De Hondt, P. A","The reverie, or A flight to the paradise of fools",0.69,200,290,1,s,1763,    ,1763
dul1.ark+=13960=t6543fx9b,10943646,16111630,,"Johnstone, Charles,",London;Printed for T. Becket and P. A. Da [!] Hondt ...;1763.,1763,enk,v.2,"Becket, T;Publisher;London;Place;1763;England;De Hondt, P. A","The reverie, or A flight to the paradise of fools",0.73,225,302,1,s,1763,    ,1763
mdp.39015063952736,784380,23638284,,"Shebbeare, John,",Dublin;Printed for S. Cotter;1763.,1763,ie ,v.1,,Lydia;,0.88,301,331,1,s,1763,    ,1763
mdp.39015065444195,784380,23638284,,"Shebbeare, John,",Dublin;Printed for S. Cotter;1763.,1763,ie ,v.2,,Lydia;,0.89,296,317,1,s,1763,    ,1763
mdp.39015078548727,1367539,67409037,,"Berington, Simon,",London;Printed for J. Richardson;1763.,1763,enk,,,The adventures of Sig. Gaudentio di Lucca [pseud.],0.65,209,338,1,s,1763,    ,1763
njp.32101037606322,9656888,43481044,,"Gunning,","Dublin;Printed for J. Hoey, junior, and J. Potts;1763.",1763,ie ,,,The histories of Lady Frances S--- and Lady Caroline S---,0.8,260,298,1,s,1763,    ,1763
nyp.33433067305320,8618460,37317433,,"Montagu, Mary Wortley,",London;Printed for T. Becket and P.A. De Hondt;1763.,1763,enk,v. 1-2,Voyages and travels;1700-1800;English letters,Letters of the Right Honourable Lady M--y W---y M----e;,0.65,225,366,1,s,1763,    ,1763
nyp.33433067305338,8618460,37317433,,"Montagu, Mary Wortley,",London;Printed for T. Becket and P.A. De Hondt;1763.,1763,enk,v. 3-4,Voyages and travels;1700-1800;English letters,Letters of the Right Honourable Lady M--y W---y M----e;,0.53,135,292,0.962,s,1763,    ,1763
uc2.ark+=13960=t5t728v3r,7692587,15038728,,"Smollett, T.",Dublin;Harry Saunders;1763-1769.,1763,enk,v.2,,The adventures of Peregrine Pickle,0.89,209,224,1,m,1763,1769,1763-1769
dul1.ark+=13960=t6446jc6s,10943923,22883408,,,"Naples, Printed;London, Reprinted;and sold by R. Baldwin [+ 7 others;1764.",1764,enk,v.2,"Italy;Anville, Miss d';Publisher;London;Naples;Place;Nidray, John;Baldwin, R;Provenance;Nidray, Charles;England;1764","The memoirs of Miss D'Arville; or, The Italian female philosopher",0.85,308,318,1,s,1764,    ,1764
dul1.ark+=13960=t75t4h262,10943923,22883408,,,"Naples, Printed;London, Reprinted;and sold by R. Baldwin [+ 7 others;1764.",1764,enk,v.1,"Italy;Anville, Miss d';Publisher;London;Naples;Place;Nidray, John;Baldwin, R;Provenance;Nidray, Charles;England;1764","The memoirs of Miss D'Arville; or, The Italian female philosopher",0.85,324,334,1,s,1764,    ,1764
mdp.39015031446845,1812614,23634361,,Chariton.,London;Printed for T. Becket and P.A. De Hondt;1764.,1764,enk,v.2,,"The loves of ChÃ_rcas and Callirrhoe. Written originally in Greek, by Chariton of Aphrodisios. Now first translated into English",0.75,169,220,1,s,1764,    ,1764
mdp.39015031446852,1812614,23634361,,Chariton.,London;Printed for T. Becket and P.A. De Hondt;1764.,1764,enk,v.1,,"The loves of ChÃ_rcas and Callirrhoe. Written originally in Greek, by Chariton of Aphrodisios. Now first translated into English",0.79,213,251,1,s,1764,    ,1764
mdp.39015065785340,449350,23628243,,,London;Printed for J. Pridder and T. Jones;1764.,1764,enk,v.2,,The memoirs of Miss d'Arville ;,0.84,305,321,1,s,1764,    ,1764
mdp.39015065785357,449350,23628243,,,London;Printed for J. Pridder and T. Jones;1764.,1764,enk,v.1,,The memoirs of Miss d'Arville ;,0.83,315,335,1,s,1764,    ,1764
nyp.33433074911714,8663610,3590362,,"Morell, Charles,",London;Printed for J. Wilkie;1764.,1764,xx ,v. 1,the son of Asmar;Horam,The tales of the genii,0.9,383,400,1,s,1764,    ,1764
nyp.33433075840177,8671920,12901139,,"Lesuire, Robert Martin,",London;Printed by D. Leach for T. Davies;1764.,1764,enk,,Social life and customs;Great Britain;18th century,The savages of Europe,0.74,135,176,0.998,s,1764,    ,1764
uc2.ark+=13960=t3kw59c9r,7692449,152393051,,"Shenstone, William,",London;Printed for R. and J. Dodsley;1764.,1764,enk,v.003,,"The works in verse and prose of William Shenstone, Esq",0.59,231,428,0.997, ,1764,    ,1764
dul1.ark+=13960=t1sf3hs5r,1420041,23621114,,"Gentleman, Francis,","London;Printed for S. Crowder [etc., etc.;1765.",1765,enk,v.2,"Curiosa and miscellany;Voyages, Imaginary;Interplanetary voyages, Imaginary;Moon",A trip to the moon,0.66,146,224,1,s,1765,    ,1765
mdp.39015069176694,1423399,23638087,,"Swift, Jonathan,",London;Printed for C. Bathurst [etc.;1765-75.,1765,enk,v.2,,The works of Dr. Jonathan Swift,0.6,254,464,0.999,m,1765,1775,1765-1775
mdp.39015078562397,1420041,23621114,,"Gentleman, Francis,","London;Printed for S. Crowder [etc., etc.;1765.",1765,enk,v.2,"Curiosa and miscellany;Voyages, Imaginary;Interplanetary voyages, Imaginary;Moon",A trip to the moon,0.6,123,226,1,s,1765,    ,1765
mdp.39015078565317,1423715,23638804,,"Swift, Jonathan,",London;Printed for C. Bathurst;1765.,1765,enk,v.1,,... Capt. Lemuel Gulliver's travels into several remote nations of the world,0.75,183,236,0.999,s,1765,    ,1765
mdp.39015078565465,1423715,23638804,,"Swift, Jonathan,",London;Printed for C. Bathurst;1765.,1765,enk,v.2,,... Capt. Lemuel Gulliver's travels into several remote nations of the world,0.5,98,230,1,s,1765,    ,1765
nnc1.0021771839,8394132,49402350,,"PÃ©tis de La Croix, FranÃ§ois,",London;Tonson;1765.,1765,enk,v.1,,The thousand and one days,0.83,359,382,1,s,1765,    ,1765
nnc1.0021771847,8394132,49402350,,"PÃ©tis de La Croix, FranÃ§ois,",London;Tonson;1765.,1765,enk,v.2,,The thousand and one days,0.83,328,350,1,s,1765,    ,1765
nnc1.0315301311,8402451,29820060,,,London;Printed for C. Henderson;1765.,1765,enk,v.1,,The generous Briton;,0.82,270,296,1,s,1765,    ,1765
nnc1.0315301320,8402451,29820060,,,London;Printed for C. Henderson;1765.,1765,enk,v.2,,The generous Briton;,0.84,337,354,1,s,1765,    ,1765
nyp.33433068200751,8622270,5803978,,"Dodsley, Robert,",London;J. Dodsley;1765.,1765,enk,,Fables,Select fables of Esop and other fabulists,0.62,187,336,0.999,s,1765,    ,1765
nyp.33433074909932,8666614,37202620,,"Defoe, Daniel,",London;Printed for J. Cooke;1765.,1765,enk,,English fiction,"The life and adventures of the famous Moll Flanders, who was born in Newgate",0.9,359,372,1,s,1765,    ,1765
nyp.33433074948534,8663574,15071077,,,Dublin;Printed for P. Wilson;1765.,1765,ie ,v. 1-2,English fiction,The Parasite,0.88,230,254,0.999,s,1765,    ,1765
nyp.33433076095532,8661466,9698229,,"Swift, Jonathan,","London;Printed for W. Bowyer, C. Bathurst, W. Owen, W. Strahan, J. Rivington, J. Hinton, L. Davis, and C. Reymers, R. Baldwin, J. Dodsley, S. Crowder and Co. and B. Collins.;1765-1779.",1765,enk,v. 2,,"The works of Dr. Jonathan Swift, Dean of St. Patrick's, Dublin",0.6,250,468,1,m,1765,1779,1765-1779
nyp.33433076095565,8661466,9698229,,"Swift, Jonathan,","London;Printed for W. Bowyer, C. Bathurst, W. Owen, W. Strahan, J. Rivington, J. Hinton, L. Davis, and C. Reymers, R. Baldwin, J. Dodsley, S. Crowder and Co. and B. Collins.;1765-1779.",1765,enk,v. 5,,"The works of Dr. Jonathan Swift, Dean of St. Patrick's, Dublin",0.53,179,390,0.999,m,1765,1779,1765-1779
nyp.33433076095714,8661466,9698229,,"Swift, Jonathan,","London;Printed for W. Bowyer, C. Bathurst, W. Owen, W. Strahan, J. Rivington, J. Hinton, L. Davis, and C. Reymers, R. Baldwin, J. Dodsley, S. Crowder and Co. and B. Collins.;1765-1779.",1765,enk,v. 5,,"The works of Dr. Jonathan Swift, Dean of St. Patrick's, Dublin",0.64,259,438,0.998,m,1765,1779,1765-1779
uc2.ark+=13960=t84j0ch7d,7656418,13226323,,,Cambridge;1765.,1765,enk,,,The council in the moon,0.78,23,32,0.999,s,1765,    ,1765
mdp.39015008800537,1775246,23637881,,"Swift, Jonathan,",London;T. Davies [etc.;1766.,1766,enk,v.3,,"Letters, written",0.66,246,392,0.984,s,1766,    ,1766
mdp.39015014857828,1775246,23637881,,"Swift, Jonathan,",London;T. Davies [etc.;1766.,1766,enk,v.2,,"Letters, written",0.52,178,406,1,s,1766,    ,1766
mdp.39015057157748,1795136,14959959,,"Elie de Beaumont,",London;T. Becket and P.A. De Hondt;1766.,1766,enk,v.1,,"The history of the Marquis de Roselle, in a series of letters",0.82,210,231,1,s,1766,    ,1766
mdp.39015057157755,1795136,14959959,,"Elie de Beaumont,",London;T. Becket and P.A. De Hondt;1766.,1766,enk,v.2,,"The history of the Marquis de Roselle, in a series of letters",0.77,143,176,1,s,1766,    ,1766
mdp.39015063948676,169127,65854036,,"Morell, Charles,",London;Printed for J. Wilkie;1766.,1766,enk,v.2,Iran;Folklore,The tales of the genii;,0.89,380,395,1,s,1766,    ,1766
mdp.39015063949005,169127,65854036,,"Morell, Charles,",London;Printed for J. Wilkie;1766.,1766,enk,v.1,Iran;Folklore,The tales of the genii;,0.9,368,383,1,s,1766,    ,1766
mdp.39015069159542,1423405,67414175,,"Swift, Jonathan,",London;Printed for C. Bathurst [etc.;1766.,1766,enk,v.2,,The works of Dr. Jonathan Swift,0.52,151,334,1,s,1766,    ,1766
mdp.39015078549634,1369003,67409588,,"Defoe, Daniel,",London;Printed for J. Buckland [etc.;1766.,1766,enk,v.2,,The life and strange surprising adventures of Robinson Crusoe;,0.83,264,288,0.996,s,1766,    ,1766
mdp.39015078549642,1369003,67409588,,"Defoe, Daniel,",London;Printed for J. Buckland [etc.;1766.,1766,enk,v.1,,The life and strange surprising adventures of Robinson Crusoe;,0.84,293,308,1,s,1766,    ,1766
njp.32101037021019,9656815,228751321,,"Pennington, Sarah,","London;To be had by the subscribers at those booksellers where they have subscribed, and at W. Bristow's late shop in St. Paul's Church Yard, or at his house in Roll's Buildings, Fetter-Lane;1766-67.",1766,enk,v.4,Early works to 1800;Conduct of life;Correspondence;Women,Letters on different subjects,0.65,155,252,1,m,1766,1767,1766-1767
njp.32101037021027,9656815,228751321,,"Pennington, Sarah,","London;To be had by the subscribers at those booksellers where they have subscribed, and at W. Bristow's late shop in St. Paul's Church Yard, or at his house in Roll's Buildings, Fetter-Lane;1766-67.",1766,enk,v.3,Early works to 1800;Conduct of life;Correspondence;Women,Letters on different subjects,0.54,100,216,0.998,m,1766,1767,1766-1767
njp.32101037021035,9656815,228751321,,"Pennington, Sarah,","London;To be had by the subscribers at those booksellers where they have subscribed, and at W. Bristow's late shop in St. Paul's Church Yard, or at his house in Roll's Buildings, Fetter-Lane;1766-67.",1766,enk,v.2,Early works to 1800;Conduct of life;Correspondence;Women,Letters on different subjects,0.78,176,212,1,m,1766,1767,1766-1767
njp.32101037021043,9656815,228751321,,"Pennington, Sarah,","London;To be had by the subscribers at those booksellers where they have subscribed, and at W. Bristow's late shop in St. Paul's Church Yard, or at his house in Roll's Buildings, Fetter-Lane;1766-67.",1766,enk,v.1,Early works to 1800;Conduct of life;Correspondence;Women,Letters on different subjects,0.7,152,220,0.998,m,1766,1767,1766-1767
njp.32101037080122,9471448,13303952,,"Gunning,",London;Printed for the authors;1766.,1766,enk,v.3,,The picture,0.82,181,200,0.999,s,1766,    ,1766
njp.32101037080130,9471448,13303952,,"Gunning,",London;Printed for the authors;1766.,1766,enk,v.2,,The picture,0.77,206,252,0.999,s,1766,    ,1766
njp.32101037080155,9471448,13303952,,"Gunning,",London;Printed for the authors;1766.,1766,enk,v.1,,The picture,0.82,193,212,1,s,1766,    ,1766
njp.32101067499200,8958631,11789969,,Charles,Glasgow;Printed by Robert and Andrew Foulis;1766.,1766,stk,,,An account of the preservation of King Charles II after the Battle of Worcester,0.52,93,208,0.999,s,1766,    ,1766
nnc1.1002347679,8405468,35175489,,,London;Lownds;1766-68.,1766,enk,v.1,,The history of Sir Charles Beaufort,0.83,303,324,1,m,1766,1768,1766-1768
nnc1.1002347725,8405468,35175489,,,London;Lownds;1766-68.,1766,enk,v.2,,The history of Sir Charles Beaufort,0.83,257,274,1,m,1766,1768,1766-1768
uc2.ark+=13960=t3fx7567r,7689591,6591156,,"Johnson, Samuel,",London;Printed for W. Strahan;1766.,1766,enk,v.1,,The prince of Abissinia;,0.75,140,180,1,s,1766,    ,1766
mdp.39015031099719,778696,6091390,PR3326.B4F66 1767,"Brooke, Henry,",London;W. Johnston;1767-70.,1767,enk,v.1,,The fool of quality;,0.9,291,300,1,m,1767,1770,1767-1770
mdp.39015031099743,778696,6091390,PR3326.B4F66 1767,"Brooke, Henry,",London;W. Johnston;1767-70.,1767,enk,v.2,,The fool of quality;,0.9,298,308,1,m,1767,1770,1767-1770
mdp.39015063616976,779727,10023674,,"Johnstone, Charles,",London;Printed for T. Becket and P. A. DaHondt;1767.,1767,enk,v.2,,The reverie;,0.71,218,310,1,s,1767,    ,1767
mdp.39015063616984,779727,10023674,,"Johnstone, Charles,",London;Printed for T. Becket and P. A. DaHondt;1767.,1767,enk,v.1,,The reverie;,0.71,221,308,1,s,1767,    ,1767
mdp.39015078549626,1369007,23640091,,"Defoe, Daniel,",London;Printed for T. Thompson [etc.;1767.,1767,enk,,,The life and strange and surprising adventures of Robinson Crusoe,0.82,284,316,1,s,1767,    ,1767
nyp.33433074854286,779727,10023674,,"Johnstone, Charles,",London;Printed for T. Becket and P. A. DaHondt;1767.,1767,enk,v. 1,,The reverie;,0.65,190,312,1,s,1767,    ,1767
nyp.33433074854294,779727,10023674,,"Johnstone, Charles,",London;Printed for T. Becket and P. A. DaHondt;1767.,1767,enk,v. 2,,The reverie;,0.7,213,308,1,s,1767,    ,1767
nyp.33433074923081,8670828,37334325,,"Johnstone, Charles.",London;J. Hill;1767.,1767,enk,v. 3-4,Miscellanea;English literature,"Chrysal; or, The adventures of a guinea",0.68,248,384,1,s,1767,    ,1767
nyp.33433074923099,8670828,37334325,,"Johnstone, Charles.",London;J. Hill;1767.,1767,enk,v. 1-2,Miscellanea;English literature,"Chrysal; or, The adventures of a guinea",0.65,296,488,1,s,1767,    ,1767
nyp.33433086304668,8678395,14331892,,,London;Harrison and Ward;1767.,1767,xx ,,,An Appeal to humanity,0.51,36,82,1,s,1767,    ,1767
ucm.5320262557,9291942,,,"Kelly, Hugh,","Dublin;printed for P. Wilson, J. Exshaw, J. Murphy, H. Saunders, W. Sleater, J. Potts, D. Chamberlain, J. Hoey, jun. J. Williams and T. Ryder;1767.",1767,ie ,,,Memoirs of a Magdalen or The history of Louisa Mildway,0.83,274,294,1,s,1767,    ,1767
dul1.ark+=13960=t3708st9f,10942830,9890135,,"Neville, Henry,","London;Printed MDCXXXXVII, reprinted for T. Cadell;1768.",1768,enk,,"Political satire, English;History;Pamphlets;Great Britain;Civil War, 1642-1649","The parlament of ladies. Or Divers remarkable orders, of the ladies, at Spring Garden, in parlament assembled",0.79,43,60,0.998,s,1768,    ,1768
dul1.ark+=13960=t8hd8hw15,1017354,3386010,PZ3.G546S (Office),"Godwin, Francis,",London;Printed by J. Lever;1768.,1768,enk,,Interplanetary voyages;Utopias,"The strange voyage and adventures of Domingo Gonsales, to the world in the moon",0.56,33,66,1,s,1768,    ,1768
mdp.39015023932208,115697,23621755,,"Haywood, Eliza Fowler,",London;Printed for L. Garden;1768.,1768,enk,v.1,,The history of Miss Betsy Thoughtless,0.89,288,306,1,s,1768,    ,1768
mdp.39015023932216,115697,23621755,,"Haywood, Eliza Fowler,",London;Printed for L. Garden;1768.,1768,enk,v.2,,The history of Miss Betsy Thoughtless,0.89,288,304,1,s,1768,    ,1768
mdp.39015023932224,115697,23621755,,"Haywood, Eliza Fowler,",London;Printed for L. Garden;1768.,1768,enk,v.3,,The history of Miss Betsy Thoughtless,0.89,288,308,1,s,1768,    ,1768
mdp.39015063944451,1019780,13293624,PR3605.M885C3 1768 (Rare Bk Coll),"Mulso, Thomas.",London;B. White and J. Dodsley;1768.,1768,enk,,,Callistus;,0.79,195,227,1,s,1768,    ,1768
mdp.39015073722376,463765,11552636,DD402.B5A33,"Bielfeld, Jakob Friedrich,",London;Printed for J. Robson [etc.;1768-70.,1768,enk,v.2,Prussia (Germany);Court and Courtiers,Letters of Baron Bielfeld,0.5,108,256,1,m,1768,1770,1768-1770
mdp.39015073722384,463765,11552636,DD402.B5A33,"Bielfeld, Jakob Friedrich,",London;Printed for J. Robson [etc.;1768-70.,1768,enk,v.1,Prussia (Germany);Court and Courtiers,Letters of Baron Bielfeld,0.63,169,286,0.998,m,1768,1770,1768-1770
mdp.39015078563676,1423418,23638136,,"Swift, Jonathan,",London;Printed for W. Bowyer [etc.;1768.,1768,enk,v.5,,The works of Dr. Jonathan Swift,0.56,184,376,1,s,1768,    ,1768
mdp.39015078563684,1423418,23638136,,"Swift, Jonathan,",London;Printed for W. Bowyer [etc.;1768.,1768,enk,v.2,,The works of Dr. Jonathan Swift,0.64,275,460,1,s,1768,    ,1768
njp.32101064256108,8920352,777061845,,"Byron, John,",London;S. Baker and G. Leigh;1768.,1768,enk,,ChiloÃƒÂ© (Chile);Patagonia (Argentina and Chile);Wager (Ship),The narrative of the Honourable John Byron,0.7,196,274,1,s,1768,    ,1768
njp.32101077780516,9035584,5123438,,"Ê»InÄÅyat AllÄÅh,",London;Printed for T. Becket and P.A. de Hondt ...;1768.,1768,enk,v.1,,Tales,0.9,301,312,1,s,1768,    ,1768
njp.32101077780524,9035584,5123438,,"Ê»InÄÅyat AllÄÅh,",London;Printed for T. Becket and P.A. de Hondt ...;1768.,1768,enk,v.2,,Tales,0.89,247,256,1,s,1768,    ,1768
nnc1.0022160590,8394227,35186296,,"Higgs, Henry.",Dublin;Printed for J. Exshaw;1768.,1768,ie ,v.1-2,,"High life: a novel. Or, The history of Miss Faulkland",0.9,303,314,1,s,1768,    ,1768
ucm.5324328550,9348773,,,"Byron, John,","London;printed for S. Baker and G. Leich ..., and T. Davies ...;1780.",1768,uk ,,Viajes alrededor del mundo;1700-;DescripciÃƒÂ_n y viajes;Patagonia;Descubrimiento y exploraciÃƒÂ_n;AmÃƒÂ©rica;DescripciÃƒÂ_n;Santiago de Chile;Gran BretaÃƒÂ±a;Marinos;Libros de viajes,The narrative of the Honourable John Byron (Commodore in a late expedition round the world),0.72,205,286,1,s,1768,    ,1780
hvd.hnzajd,9712398,79750748,,"Ê»InÄÅyat AllÄÅh,","Dublin;printed for P. and W. Wilson, etc.;1769.",1769,ie ,v.1-2,,Tales,0.69,205,296,1,s,1769,    ,1769
hvd.hxjnt5,9709125,84069312,,"Paterson, Samuel,",London;Printed for Johnson and Payne;1769.,1769,enk,v.1:pt.1,,Another traveller! or Cursory remarks and critical observations made upon a journey through part of the Netherlands in 1766,0.74,188,252,1,s,1769,    ,1769
hvd.hxjnt6,9709125,84069312,,"Paterson, Samuel,",London;Printed for Johnson and Payne;1769.,1769,enk,v.1:pt.2,,Another traveller! or Cursory remarks and critical observations made upon a journey through part of the Netherlands in 1766,0.71,199,280,1,s,1769,    ,1769
hvd.hxjnt7,9709125,84069312,,"Paterson, Samuel,",London;Printed for Johnson and Payne;1769.,1769,enk,v.2:pt.1,,Another traveller! or Cursory remarks and critical observations made upon a journey through part of the Netherlands in 1766,0.51,106,240,1,s,1769,    ,1769
mdp.39015078548032,1368409,12628842,,"Chetwood, W. R.",London;G. Keith [etc.;1769.,1769,enk,,"Randal, Thomas;1641-1699;Adventure and adventurers","The voyages, dangerous adventures, and imminent escapes, of Capt. Richard Falconer",0.63,205,352,1,s,1769,    ,1769
nnc1.cu09419128,8421290,29097009,,,London;Sold by Dodsley [etc.;1769.,1769,enk,v.1,,"The Bonze; or, Chinese anchorite, an Oriental epic novel",0.5,103,240,1,s,1769,    ,1769
nnc1.cu09419136,8421290,29097009,,,London;Sold by Dodsley [etc.;1769.,1769,enk,v.2,,"The Bonze; or, Chinese anchorite, an Oriental epic novel",0.67,204,312,1,s,1769,    ,1769
nyp.33433074918735,8663957,4644939,PZ3.T617L,"Tooke, William,",London;J. Wilkie;1769.,1769,enk,v. 1,,The loves of Othniel and Achsah,0.89,274,288,1,s,1769,    ,1769
nyp.33433074918743,8663957,4644939,PZ3.T617L,"Tooke, William,",London;J. Wilkie;1769.,1769,enk,v. 2,,The loves of Othniel and Achsah,0.83,216,284,0.999,s,1769,    ,1769
